Id,Runs,Boundaries,Six,Fifty,Hundred,Duck,Batting_Points,Wickets,4W_Haul,5W_Haul,Maidens,Bowling_Points,Total Points
2_RG Sharma,3,0,0,0,0,0,3,0,0,0,0,0,3
2_HH Pandya,35,5,4,0,0,0,48,1,0,0,0,25,73
3_DS Kulkarni,0,0,0,0,0,0,0,0,0,0,0,0,0
3_SK Raina,68,7,0,1,0,0,83,0,0,0,0,0,83
3_CA Lynn,93,14,8,1,0,0,131,0,0,0,0,0,131
3_MS Gony,0,0,0,0,0,0,0,0,0,0,0,0,0
3_S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0
3_SB Jakati,0,0,0,0,0,0,0,0,0,0,0,0,0
3_P Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0
3_TA Boult,0,0,0,0,0,0,0,1,0,0,0,25,25
3_BB McCullum,35,6,2,0,0,0,45,0,0,0,0,0,45
3_PP Chawla,0,0,0,0,0,0,0,1,0,0,0,25,25
3_JJ Roy,14,3,0,0,0,0,17,0,0,0,0,0,17
3_KD Karthik,47,8,2,0,0,0,59,0,0,0,0,0,59
3_DR Smith,0,0,0,0,0,0,0,0,0,0,0,0,0
3_CR Woakes,0,0,0,0,0,0,0,0,0,0,0,0,0
3_G Gambhir,76,12,0,1,0,0,96,0,0,0,0,0,96
3_Kuldeep Yadav,0,0,0,0,0,0,0,2,0,0,0,50,50
3_YK Pathan,0,0,0,0,0,0,0,0,0,0,0,0,0
3_AJ Finch,15,2,2,0,0,0,21,0,0,0,0,0,21
3_SP Narine,0,0,0,0,0,0,0,0,0,0,0,0,0
4_SPD Smith,26,3,0,0,0,0,29,0,0,0,0,0,29
4_R Bhatia,0,0,0,0,0,0,0,0,0,0,0,0,0
4_BA Stokes,50,5,3,1,0,0,69,0,0,0,0,0,69
4_MS Dhoni,5,0,0,0,0,0,5,0,0,0,0,0,5
4_HM Amla,28,3,1,0,0,0,33,0,0,0,0,0,33
4_M Vohra,14,2,1,0,0,0,18,0,0,0,0,0,18
4_MP Stoinis,0,0,0,0,0,0,0,1,0,0,0,25,25
4_MA Agarwal,0,0,0,0,0,1,-2,0,0,0,0,0,-2
4_MM Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0
4_GJ Maxwell,44,7,4,0,0,0,59,0,0,0,0,0,59
4_WP Saha,14,3,0,0,0,0,17,0,0,0,0,0,17
4_Imran Tahir,0,0,0,0,0,0,0,2,0,0,0,50,50
4_T Natarajan,0,0,0,0,0,0,0,1,0,0,0,25,25
4_DT Christian,17,3,1,0,0,0,22,0,0,0,0,0,22
4_AR Patel,24,2,1,0,0,0,28,1,0,0,0,25,53
4_AB Dinda,0,0,0,0,0,0,0,1,0,0,0,25,25
4_RD Chahar,0,0,0,0,0,0,0,1,0,0,0,25,25
4_AM Rahane,19,2,1,0,0,0,23,0,0,0,0,0,23
4_Sandeep Sharma,0,0,0,0,0,0,0,2,0,0,0,50,50
4_Swapnil Singh,0,0,0,0,0,0,0,1,0,0,0,25,25
4_MK Tiwary,40,5,2,0,0,0,49,0,0,0,0,0,49
4_DA Miller,30,3,2,0,0,0,37,0,0,0,0,0,37
5_SW Billings,25,2,1,0,0,0,29,0,0,0,0,0,29
5_A Mishra,8,0,0,0,0,0,8,0,0,0,0,0,8
5_PJ Cummins,6,1,0,0,0,0,7,1,0,0,0,25,32
5_P Negi,10,1,1,0,0,0,13,2,0,0,0,50,63
5_KM Jadhav,69,10,5,1,0,0,97,0,0,0,0,0,97
5_Mandeep Singh,12,3,0,0,0,0,15,0,0,0,0,0,15
5_B Stanlake,0,0,0,0,0,0,0,2,0,0,0,50,50
5_CR Brathwaite,1,0,0,0,0,0,1,0,0,0,0,0,1
5_STR Binny,16,1,0,0,0,0,17,0,0,0,0,0,17
5_TS Mills,0,0,0,0,0,1,-2,1,0,0,0,25,23
5_S Nadeem,0,0,0,0,0,1,-2,1,0,0,0,25,23
5_Vishnu Vinod,9,1,1,0,0,0,12,0,0,0,0,0,12
5_CH Gayle,6,1,0,0,0,0,7,0,0,0,0,0,7
5_SV Samson,13,1,0,0,0,0,14,0,0,0,0,0,14
5_AP Tare,18,3,0,0,0,0,21,0,0,0,0,0,21
5_Iqbal Abdulla,5,0,0,0,0,0,5,2,0,0,0,50,55
5_SR Watson,24,4,0,0,0,0,28,1,0,0,0,25,53
5_RR Pant,57,7,4,1,0,0,80,0,0,0,0,0,80
5_CH Morris,4,0,0,0,0,0,4,3,0,0,0,75,79
5_KK Nair,4,1,0,0,0,0,5,0,0,0,0,0,5
5_YS Chahal,0,0,0,0,0,0,0,1,0,0,0,25,25
5_Z Khan,1,0,0,0,0,0,1,2,0,0,0,50,51
6_DS Kulkarni,1,0,0,0,0,0,1,0,0,0,0,0,1
6_Bipul Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0
6_SK Raina,5,0,0,0,0,0,5,0,0,0,0,0,5
6_Basil Thampi,13,1,1,0,0,0,16,0,0,0,0,0,16
6_A Nehra,0,0,0,0,0,0,0,1,0,0,0,25,25
6_Rashid Khan,0,0,0,0,0,0,0,3,0,0,0,75,75
6_S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0
6_P Kumar,7,0,0,0,0,0,7,1,0,0,0,25,32
6_MC Henriques,52,6,0,1,0,0,66,0,0,0,0,0,66
6_Tejas Baroka,0,0,0,0,0,0,0,0,0,0,0,0,0
6_BB McCullum,5,0,0,0,0,0,5,0,0,0,0,0,5
6_DA Warner,76,10,4,1,0,0,102,0,0,0,0,0,102
6_JJ Roy,31,5,0,0,0,0,36,0,0,0,0,0,36
6_KD Karthik,30,2,0,0,0,0,32,0,0,0,0,0,32
6_DR Smith,37,5,1,0,0,0,44,0,0,0,0,0,44
6_BCJ Cutting,0,0,0,0,0,0,0,0,0,0,0,0,0
6_B Kumar,0,0,0,0,0,0,0,2,0,0,0,50,50
6_AJ Finch,3,0,0,0,0,0,3,0,0,0,0,0,3
6_S Dhawan,9,1,1,0,0,0,12,0,0,0,0,0,12
7_AS Rajpoot,0,0,0,0,0,0,0,3,0,0,0,75,75
7_KA Pollard,17,2,1,0,0,0,21,0,0,0,0,0,21
7_TA Boult,0,0,0,0,0,0,0,0,0,0,0,0,0
7_YK Pathan,6,0,0,0,0,0,6,0,0,0,0,0,6
7_N Rana,50,8,3,1,0,0,72,0,0,0,0,0,72
7_G Gambhir,19,3,0,0,0,0,22,0,0,0,0,0,22
7_KH Pandya,11,2,0,0,0,0,13,3,0,0,0,75,88
7_MK Pandey,81,10,5,1,0,0,109,0,0,0,0,0,109
7_PA Patel,30,4,1,0,0,0,36,0,0,0,0,0,36
7_JJ Bumrah,0,0,0,0,0,0,0,1,0,0,0,25,25
7_RV Uthappa,4,1,0,0,0,0,5,0,0,0,0,0,5
7_SL Malinga,0,0,0,0,0,0,0,2,0,0,0,50,50
7_MJ McClenaghan,0,0,0,0,0,0,0,1,0,0,0,25,25
7_CR Woakes,9,0,0,0,0,0,9,1,0,0,0,25,34
7_JC Buttler,28,3,2,0,0,0,35,0,0,0,0,0,35
7_CA Lynn,32,4,1,0,0,0,38,0,0,0,0,0,38
7_Harbhajan Singh,1,0,0,0,0,0,1,0,0,0,0,0,1
7_RG Sharma,2,0,0,0,0,0,2,0,0,0,0,0,2
7_HH Pandya,29,5,2,0,0,0,38,0,0,0,0,0,38
7_Kuldeep Yadav,0,0,0,0,0,0,0,1,0,0,0,25,25
7_SA Yadav,17,2,0,0,0,0,19,0,0,0,0,0,19
7_SP Narine,1,0,0,0,0,0,1,1,0,0,0,25,26
8_M Vohra,34,5,1,0,0,0,41,0,0,0,0,0,41
8_T Natarajan,0,0,0,0,0,0,0,0,0,0,0,0,0
8_Sandeep Sharma,0,0,0,0,0,0,0,1,0,0,0,25,25
8_MP Stoinis,0,0,0,0,0,0,0,0,0,0,0,0,0
8_Iqbal Abdulla,0,0,0,0,0,0,0,0,0,0,0,0,0
8_AR Patel,9,1,1,0,0,0,12,1,0,0,0,25,37
8_B Stanlake,0,0,0,0,0,0,0,0,0,0,0,0,0
8_P Negi,0,0,0,0,0,0,0,0,0,0,0,0,0
8_KM Jadhav,1,0,0,0,0,0,1,0,0,0,0,0,1
8_SR Watson,1,0,0,0,0,0,1,0,0,0,0,0,1
8_STR Binny,18,2,1,0,0,0,22,0,0,0,0,0,22
8_TS Mills,0,0,0,0,0,0,0,1,0,0,0,25,25
8_VR Aaron,0,0,0,0,0,0,0,2,0,0,0,50,50
8_YS Chahal,0,0,0,0,0,0,0,1,0,0,0,25,25
8_Vishnu Vinod,7,1,0,0,0,0,8,0,0,0,0,0,8
8_MM Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0
8_GJ Maxwell,43,7,4,0,0,0,58,0,0,0,0,0,58
8_AB de Villiers,89,12,9,1,0,0,127,0,0,0,0,0,127
8_HM Amla,58,7,3,1,0,0,79,0,0,0,0,0,79
8_Mandeep Singh,28,2,1,0,0,0,32,0,0,0,0,0,32
9_SW Billings,24,4,0,0,0,0,28,0,0,0,0,0,28
9_A Mishra,0,0,0,0,0,0,0,3,0,0,0,75,75
9_PJ Cummins,0,0,0,0,0,0,0,2,0,0,1,58,58
9_R Bhatia,16,1,1,0,0,0,19,0,0,0,0,0,19
9_BA Stokes,2,0,0,0,0,0,2,0,0,0,0,0,2
9_MS Dhoni,11,1,1,0,0,0,14,0,0,0,0,0,14
9_DL Chahar,14,2,2,0,0,0,20,1,0,0,0,25,45
9_MA Agarwal,20,2,0,0,0,0,22,0,0,0,0,0,22
9_S Nadeem,0,0,0,0,0,0,0,1,0,0,0,25,25
9_F du Plessis,8,1,0,0,0,0,9,0,0,0,0,0,9
9_CJ Anderson,2,0,0,0,0,0,2,0,0,0,0,0,2
9_A Zampa,5,1,0,0,0,0,6,1,0,0,0,25,31
9_Imran Tahir,0,0,0,0,0,1,-2,1,0,0,0,25,23
9_SV Samson,102,13,5,0,1,0,141,0,0,0,0,0,141
9_AP Tare,0,0,0,0,0,1,-2,0,0,0,0,0,-2
9_AB Dinda,7,1,0,0,0,0,8,0,0,0,0,0,8
9_RR Pant,31,3,2,0,0,0,38,0,0,0,0,0,38
9_AM Rahane,10,0,0,0,0,0,10,0,0,0,0,0,10
9_RA Tripathi,10,2,0,0,0,0,12,0,0,0,0,0,12
9_CH Morris,38,7,3,0,0,0,51,1,0,0,0,25,76
9_Z Khan,0,0,0,0,0,0,0,3,0,0,0,75,75
10_KA Pollard,11,1,1,0,0,0,14,0,0,0,0,0,14
10_Mustafizur Rahman,0,0,0,0,0,0,0,0,0,0,0,0,0
10_DJ Hooda,9,1,0,0,0,0,10,1,0,0,0,25,35
10_N Rana,45,5,2,0,0,0,54,0,0,0,0,0,54
10_KH Pandya,37,6,3,0,0,0,49,0,0,0,0,0,49
10_Yuvraj Singh,5,1,0,0,0,0,6,0,0,0,0,0,6
10_B Kumar,4,0,0,0,0,0,4,3,0,0,0,75,79
10_PA Patel,39,7,0,0,0,0,46,0,0,0,0,0,46
10_A Nehra,0,0,0,0,0,0,0,1,0,0,0,25,25
10_JJ Bumrah,0,0,0,0,0,0,0,3,0,0,0,75,75
10_DA Warner,49,9,2,0,0,0,62,0,0,0,0,0,62
10_MJ McClenaghan,0,0,0,0,0,0,0,1,0,0,0,25,25
10_SL Malinga,0,0,0,0,0,0,0,1,0,0,0,25,25
10_NV Ojha,9,0,0,0,0,0,9,0,0,0,0,0,9
10_JC Buttler,14,3,0,0,0,0,17,0,0,0,0,0,17
10_Harbhajan Singh,3,0,0,0,0,0,3,2,0,0,0,50,53
10_V Shankar,1,0,0,0,0,0,1,0,0,0,0,0,1
10_Rashid Khan,2,0,0,0,0,0,2,1,0,0,0,25,27
10_RG Sharma,4,0,0,0,0,0,4,0,0,0,0,0,4
10_BCJ Cutting,20,4,0,0,0,0,24,0,0,0,0,0,24
10_HH Pandya,2,0,0,0,0,0,2,1,0,0,0,25,27
10_S Dhawan,48,6,1,0,0,0,56,0,0,0,0,0,56
11_C de Grandhomme,0,0,0,0,0,0,0,1,0,0,0,25,25
11_M Vohra,28,5,1,0,0,0,35,0,0,0,0,0,35
11_MP Stoinis,9,1,0,0,0,0,10,0,0,0,0,0,10
11_Sandeep Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0
11_AR Patel,0,0,0,0,0,1,-2,1,0,0,0,25,23
11_TA Boult,0,0,0,0,0,0,0,0,0,0,0,0,0
11_DA Miller,28,4,2,0,0,0,36,0,0,0,0,0,36
11_RV Uthappa,26,4,1,0,0,0,32,0,0,0,0,0,32
11_UT Yadav,0,0,0,0,0,0,0,4,1,0,0,108,108
11_CR Woakes,0,0,0,0,0,0,0,2,0,0,0,50,50
11_PP Chawla,0,0,0,0,0,0,0,1,0,0,0,25,25
11_VR Aaron,4,0,0,0,0,0,4,1,0,0,0,25,29
11_MK Pandey,25,3,1,0,0,0,30,0,0,0,0,0,30
11_G Gambhir,72,11,0,1,0,0,91,0,0,0,0,0,91
11_MM Sharma,10,2,0,0,0,0,12,0,0,0,0,0,12
11_GJ Maxwell,25,4,1,0,0,0,31,0,0,0,0,0,31
11_SP Narine,37,7,3,0,0,0,50,1,0,0,0,25,75
11_WP Saha,25,4,2,0,0,0,33,0,0,0,0,0,33
11_HM Amla,25,4,0,0,0,0,29,0,0,0,0,0,29
11_I Sharma,0,0,0,0,0,0,0,0,0,0,0,0,0
12_KA Pollard,70,8,5,1,0,0,96,0,0,0,0,0,96
12_P Negi,13,0,0,0,0,0,13,0,0,0,0,0,13
12_KM Jadhav,9,0,0,0,0,0,9,0,0,0,0,0,9
12_N Rana,11,1,0,0,0,0,12,0,0,0,0,0,12
12_Mandeep Singh,0,0,0,0,0,1,-2,0,0,0,0,0,-2
12_KH Pandya,37,4,1,0,0,0,43,1,0,0,0,25,68
12_V Kohli,62,7,2,1,0,0,81,0,0,0,0,0,81
12_TG Southee,0,0,0,0,0,0,0,0,0,0,0,0,0
12_STR Binny,6,0,0,0,0,0,6,1,0,0,0,25,31
12_TS Mills,0,0,0,0,0,0,0,0,0,0,0,0,0
12_PA Patel,3,0,0,0,0,0,3,0,0,0,0,0,3
12_CH Gayle,22,3,1,0,0,0,27,0,0,0,0,0,27
12_JJ Bumrah,0,0,0,0,0,0,0,0,0,0,0,0,0
12_MJ McClenaghan,0,0,0,0,0,1,-2,2,0,0,0,50,48
12_AB de Villiers,19,1,1,0,0,0,22,0,0,0,0,0,22
12_JC Buttler,2,0,0,0,0,0,2,0,0,0,0,0,2
12_Harbhajan Singh,0,0,0,0,0,0,0,0,0,0,0,0,0
12_S Aravind,0,0,0,0,0,0,0,0,0,0,0,0,0
12_RG Sharma,0,0,0,0,0,1,-2,0,0,0,0,0,-2
12_YS Chahal,0,0,0,0,0,0,0,1,0,0,0,25,25
12_HH Pandya,9,1,1,0,0,0,12,1,0,0,0,25,37
12_S Badree,0,0,0,0,0,0,0,4,1,0,0,108,108
13_SPD Smith,43,7,1,0,0,0,52,0,0,0,0,0,52
13_BA Stokes,25,3,1,0,0,0,30,0,0,0,0,0,30
13_BB McCullum,49,8,3,0,0,0,63,0,0,0,0,0,63
13_DR Smith,47,9,1,0,0,0,58,1,0,0,0,25,83
13_MS Dhoni,5,0,0,0,0,0,5,0,0,0,0,0,5
13_AJ Finch,33,5,2,0,0,0,42,0,0,0,0,0,42
13_Basil Thampi,0,0,0,0,0,0,0,0,0,0,0,0,0
13_KD Karthik,3,0,0,0,0,0,3,0,0,0,0,0,3
13_Imran Tahir,0,0,0,0,0,0,0,1,0,0,0,25,25
13_SK Raina,35,5,1,0,0,0,42,0,0,0,0,0,42
13_SB Jakati,0,0,0,0,0,0,0,0,0,0,0,0,0
13_RD Chahar,3,0,0,0,0,0,3,1,0,0,0,25,28
13_P Kumar,0,0,0,0,0,0,0,1,0,0,0,25,25
13_Ankit Sharma,25,3,1,0,0,0,30,0,0,0,0,0,30
13_AM Rahane,0,0,0,0,0,1,-2,0,0,0,0,0,-2
13_RA Jadeja,0,0,0,0,0,0,0,1,0,0,0,25,25
13_RA Tripathi,33,5,2,0,0,0,42,0,0,0,0,0,42
13_MK Tiwary,31,3,1,0,0,0,36,0,0,0,0,0,36
13_LH Ferguson,1,0,0,0,0,0,1,0,0,0,0,0,1
13_SN Thakur,0,0,0,0,0,1,-2,1,0,0,0,25,23
13_AJ Tye,0,0,0,0,0,0,0,5,0,1,0,141,141
14_Bipul Sharma,21,3,1,0,0,0,26,0,0,0,0,0,26
14_TA Boult,0,0,0,0,0,0,0,1,0,0,0,25,25
14_DJ Hooda,13,2,1,0,0,0,17,0,0,0,0,0,17
14_YK Pathan,21,2,1,0,0,0,25,1,0,0,0,25,50
14_G Gambhir,15,2,0,0,0,0,17,0,0,0,0,0,17
14_Yuvraj Singh,26,4,2,0,0,0,34,0,0,0,0,0,34
14_UT Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0
14_MK Pandey,46,5,2,0,0,0,55,0,0,0,0,0,55
14_B Kumar,0,0,0,0,0,0,0,3,0,0,0,75,75
14_C de Grandhomme,0,0,0,0,0,1,-2,0,0,0,0,0,-2
14_A Nehra,0,0,0,0,0,0,0,1,0,0,0,25,25
14_RV Uthappa,68,9,4,1,0,0,93,0,0,0,0,0,93
14_DA Warner,26,4,0,0,0,0,30,0,0,0,0,0,30
14_NV Ojha,11,0,0,0,0,0,11,0,0,0,0,0,11
14_CR Woakes,1,0,0,0,0,0,1,2,0,0,0,50,51
14_Rashid Khan,0,0,0,0,0,0,0,1,0,0,0,25,25
14_MC Henriques,13,2,0,0,0,0,15,0,0,0,0,0,15
14_BCJ Cutting,15,2,1,0,0,0,19,1,0,0,0,25,44
14_Kuldeep Yadav,0,0,0,0,0,0,0,1,0,0,0,25,25
14_SA Yadav,4,1,0,0,0,0,5,0,0,0,0,0,5
14_SP Narine,6,1,0,0,0,0,7,1,0,0,0,25,32
14_S Dhawan,23,4,0,0,0,0,27,0,0,0,0,0,27
15_SW Billings,55,9,0,1,0,0,72,0,0,0,0,0,72
15_A Mishra,0,0,0,0,0,0,0,1,0,0,0,25,25
15_PJ Cummins,12,2,0,0,0,0,14,2,0,0,0,50,64
15_HM Amla,19,4,0,0,0,0,23,0,0,0,0,0,23
15_KC Cariappa,1,0,0,0,0,0,1,1,0,0,0,25,26
15_M Vohra,3,0,0,0,0,0,3,0,0,0,0,0,3
15_VR Aaron,0,0,0,0,0,0,0,2,0,0,0,50,50
15_S Nadeem,0,0,0,0,0,0,0,2,0,0,0,50,50
15_MM Sharma,13,1,0,0,0,0,14,1,0,0,0,25,39
15_GJ Maxwell,0,0,0,0,0,1,-2,0,0,0,0,0,-2
15_CJ Anderson,39,6,3,0,0,0,51,1,0,0,0,25,76
15_SS Iyer,22,3,0,0,0,0,25,0,0,0,0,0,25
15_WP Saha,7,1,0,0,0,0,8,0,0,0,0,0,8
15_SV Samson,19,3,1,0,0,0,24,0,0,0,0,0,24
15_AR Patel,44,4,3,0,0,0,54,1,0,0,0,25,79
15_EJG Morgan,22,3,0,0,0,0,25,0,0,0,0,0,25
15_RR Pant,15,3,0,0,0,0,18,0,0,0,0,0,18
15_Sandeep Sharma,2,0,0,0,0,0,2,1,0,0,0,25,27
15_DA Miller,24,1,0,0,0,0,25,0,0,0,0,0,25
15_CH Morris,16,2,1,0,0,0,20,3,0,0,0,75,95
15_KK Nair,0,0,0,0,0,1,-2,0,0,0,0,0,-2
15_Z Khan,0,0,0,0,0,0,0,0,0,0,0,0,0
16_KA Pollard,39,5,3,0,0,0,50,0,0,0,0,0,50
16_MM Patel,0,0,0,0,0,0,0,1,0,0,0,25,25
16_BB McCullum,64,9,3,1,0,0,87,0,0,0,0,0,87
16_DR Smith,0,0,0,0,0,1,-2,0,0,0,0,0,-2
16_N Rana,53,6,2,1,0,0,71,0,0,0,0,0,71
16_KH Pandya,0,0,0,0,0,0,0,0,0,0,0,0,0
16_Basil Thampi,0,0,0,0,0,0,0,0,0,0,0,0,0
16_KD Karthik,48,4,2,0,0,0,56,0,0,0,0,0,56
16_JJ Roy,14,2,1,0,0,0,18,0,0,0,0,0,18
16_Ishan Kishan,11,1,0,0,0,0,12,0,0,0,0,0,12
16_PA Patel,0,0,0,0,0,1,-2,0,0,0,0,0,-2
16_SK Raina,28,2,0,0,0,0,30,0,0,0,0,0,30
16_JJ Bumrah,0,0,0,0,0,0,0,0,0,0,0,0,0
16_P Kumar,0,0,0,0,0,0,0,1,0,0,0,25,25
16_MJ McClenaghan,0,0,0,0,0,0,0,2,0,0,0,50,50
16_SL Malinga,0,0,0,0,0,0,0,1,0,0,0,25,25
16_JC Buttler,26,3,2,0,0,0,33,0,0,0,0,0,33
16_RA Jadeja,0,0,0,0,0,0,0,0,0,0,0,0,0
16_Harbhajan Singh,0,0,0,0,0,0,0,1,0,0,0,25,25
16_RG Sharma,40,4,1,0,0,0,46,0,0,0,0,0,46
16_HH Pandya,6,1,0,0,0,0,7,0,0,0,0,0,7
16_AJ Tye,0,0,0,0,0,0,0,2,0,0,0,50,50
17_SPD Smith,27,3,0,0,0,0,30,0,0,0,0,0,30
17_BA Stokes,2,0,0,0,0,0,2,3,0,0,0,75,77
17_KM Jadhav,18,0,0,0,0,0,18,0,0,0,0,0,18
17_JD Unadkat,2,0,0,0,0,0,2,2,0,0,0,50,52
17_P Negi,10,1,1,0,0,0,13,1,0,0,0,25,38
17_MS Dhoni,28,4,1,0,0,0,34,0,0,0,0,0,34
17_Mandeep Singh,0,0,0,0,0,1,-2,0,0,0,0,0,-2
17_V Kohli,28,4,1,0,0,0,34,0,0,0,0,0,34
17_STR Binny,18,3,1,0,0,0,23,0,0,0,0,0,23
17_AF Milne,2,0,0,0,0,0,2,2,0,0,0,50,52
17_Imran Tahir,0,0,0,0,0,0,0,1,0,0,0,25,25
17_DT Christian,1,0,0,0,0,0,1,0,0,0,0,0,1
17_SR Watson,14,1,0,0,0,0,15,1,0,0,0,25,40
17_AB de Villiers,29,3,2,0,0,0,36,0,0,0,0,0,36
17_AM Rahane,30,5,0,0,0,0,35,0,0,0,0,0,35
17_RA Tripathi,31,4,1,0,0,0,37,0,0,0,0,0,37
17_S Aravind,6,0,0,0,0,0,6,2,0,0,0,50,56
17_MK Tiwary,27,5,2,0,0,0,36,0,0,0,0,0,36
17_SN Thakur,0,0,0,0,0,1,-2,3,0,0,0,75,73
17_YS Chahal,1,0,0,0,0,0,1,0,0,0,0,0,1
17_S Badree,0,0,0,0,0,1,-2,1,0,0,0,25,23
18_SW Billings,21,2,0,0,0,0,23,0,0,0,0,0,23
18_A Mishra,0,0,0,0,0,0,0,1,0,0,0,25,25
18_PJ Cummins,3,0,0,0,0,0,3,2,0,0,0,50,53
18_YK Pathan,59,8,2,1,0,0,79,0,0,0,0,0,79
18_G Gambhir,14,2,0,0,0,0,16,0,0,0,0,0,16
18_UT Yadav,0,0,0,0,0,0,0,1,0,0,0,25,25
18_MK Pandey,69,7,3,1,0,0,90,0,0,0,0,0,90
18_SS Iyer,26,4,0,0,0,0,30,0,0,0,0,0,30
18_NM Coulter-Nile,0,0,0,0,0,0,0,3,0,0,0,75,75
18_C de Grandhomme,1,0,0,0,0,0,1,0,0,0,0,0,1
18_SV Samson,39,7,0,0,0,0,46,0,0,0,0,0,46
18_AD Mathews,1,0,0,0,0,0,1,0,0,0,0,0,1
18_RV Uthappa,4,1,0,0,0,0,5,0,0,0,0,0,5
18_CR Woakes,3,0,0,0,0,0,3,1,0,0,0,25,28
18_RR Pant,38,6,4,0,0,0,52,0,0,0,0,0,52
18_CH Morris,16,3,0,0,0,0,19,1,0,0,0,25,44
18_KK Nair,21,1,0,0,0,0,22,0,0,0,0,0,22
18_Kuldeep Yadav,0,0,0,0,0,0,0,0,0,0,0,0,0
18_SA Yadav,7,0,0,0,0,0,7,0,0,0,0,0,7
18_SP Narine,1,0,0,0,0,0,1,1,0,0,0,25,26
18_Z Khan,0,0,0,0,0,0,0,2,0,0,0,50,50
18_Mohammed Shami,0,0,0,0,0,1,-2,0,0,0,0,0,-2
19_BB Sran,0,0,0,0,0,0,0,0,0,0,0,0,0
19_DJ Hooda,12,1,0,0,0,0,13,0,0,0,0,0,13
19_KC Cariappa,1,0,0,0,0,0,1,1,0,0,0,25,26
19_HM Amla,0,0,0,0,0,1,-2,0,0,0,0,0,-2
19_M Vohra,95,14,5,1,0,0,127,0,0,0,0,0,127
19_Yuvraj Singh,0,0,0,0,0,1,-2,0,0,0,0,0,-2
19_B Kumar,0,0,0,0,0,0,0,5,0,1,0,141,141
19_MM Sharma,10,1,1,0,0,0,13,2,0,0,0,50,63
19_GJ Maxwell,10,2,0,0,0,0,12,0,0,0,0,0,12
19_WP Saha,0,0,0,0,0,1,-2,0,0,0,0,0,-2
19_AR Patel,7,0,0,0,0,0,7,2,0,0,0,50,57
